,比赛,时间,主队,比分,客队
1179,欧洲预选,2017-10-07 23:59,瑞典,8-0,卢森堡
1180,欧洲预选,2017-09-03 23:59,白俄罗斯,0-4,瑞典
1181,欧洲预选,2017-09-01 02:45,保加利亚,3-2,瑞典
1182,国际友谊,2017-06-14 01:45,挪威,1-1,瑞典
1183,欧洲预选,2017-03-26 01:00,瑞典,4-0,白俄罗斯
1184,国际友谊,2017-01-12 23:45,瑞典,6-0,斯洛伐克
1185,国际友谊,2017-01-08 20:45,瑞典,1-2,科特迪瓦
1186,国际友谊,2016-11-16 02:45,匈牙利,0-2,瑞典
1187,欧洲预选,2016-10-11 02:45,瑞典,3-0,保加利亚
1188,欧洲预选,2016-10-08 02:45,卢森堡,0-1,瑞典
1189,欧洲预选,2016-09-07 02:45,瑞典,1-1,荷兰
1190,欧洲杯,2016-06-23 03:00,瑞典,0-1,比利时
1191,欧洲杯,2016-06-17 21:00,意大利,1-0,瑞典
1192,欧洲杯,2016-06-13 23:59,瑞典,1-1,爱尔兰
1193,国际友谊,2016-06-05 22:00,瑞典,3-0,威尔士
1194,国际友谊,2016-05-31 01:30,瑞典,0-0,斯洛文尼亚
1195,国际友谊,2016-03-30 02:30,瑞典,1-1,捷克
1196,国际友谊,2016-03-25 02:45,土耳其,2-1,瑞典
1197,国际友谊,2016-01-10 22:45,瑞典,3-0,芬兰
1198,国际友谊,2016-01-06 23:45,瑞典,1-1,爱沙尼亚
1199,欧洲杯,2015-10-12 23:59,瑞典,2-0,摩尔多瓦
1200,欧洲杯,2015-10-10 02:45,列支敦士登,0-2,瑞典
1201,欧洲杯,2015-09-09 02:45,瑞典,1-4,奥地利
1202,欧洲杯,2015-06-15 02:45,瑞典,3-1,黑山
1203,国际友谊,2015-06-09 02:00,挪威,0-0,瑞典
1204,欧洲杯,2015-03-28 03:45,摩尔多瓦,0-2,瑞典
1205,国际友谊,2015-01-20 02:30,瑞典,0-1,芬兰
1206,国际友谊,2015-01-16 01:30,瑞典,2-0,科特迪瓦
1207,欧洲杯,2014-11-16 03:45,黑山,1-1,瑞典
1208,欧洲杯,2014-10-13 02:45,瑞典,2-0,列支敦士登
1209,欧洲杯,2014-09-09 02:45,奥地利,1-1,瑞典
1210,国际友谊,2014-09-05 01:45,瑞典,2-0,爱沙尼亚
1211,国际友谊,2014-06-02 02:30,瑞典,0-2,比利时
1212,国际友谊,2014-03-06 02:30,土耳其,2-1,瑞典
1213,欧洲预选,2013-10-16 02:45,瑞典,3-5,德国
1214,欧洲预选,2013-10-12 02:45,瑞典,2-1,奥地利
1215,欧洲预选,2013-09-10 23:59,哈萨克斯坦,0-1,瑞典
1216,欧洲预选,2013-09-07 02:45,爱尔兰,1-2,瑞典
1217,球会友谊,2013-08-15 02:00,瑞典,4-2,挪威
1218,欧洲预选,2013-06-12 01:15,瑞典,2-0,法罗群岛
1219,欧洲预选,2013-06-08 02:45,奥地利,2-1,瑞典
1220,欧洲预选,2013-03-23 03:45,瑞典,0-0,爱尔兰
1221,球会友谊,2012-11-15 03:30,瑞典,4-2,英格兰
1222,欧洲预选,2012-10-17 02:45,德国,4-4,瑞典
1223,欧洲预选,2012-10-12 23:59,法罗群岛,1-2,瑞典
1224,欧洲预选,2012-09-12 02:30,瑞典,2-0,哈萨克斯坦
1225,欧洲杯,2012-06-16 03:00,瑞典,2-3,英格兰
1226,欧洲杯,2012-06-12 02:45,乌克兰,2-1,瑞典
1227,欧洲杯,2011-10-12 02:15,瑞典,3-2,荷兰
1228,欧洲杯,2011-10-08 00:15,芬兰,1-2,瑞典
1229,欧洲杯,2011-09-07 02:30,圣马力诺,0-5,瑞典
1230,欧洲杯,2011-09-03 01:45,匈牙利,2-1,瑞典
1231,国际友谊,2017-11-11 04:00,英格兰,0-0,德国
1232,欧洲预选,2017-10-09 02:45,德国,5-1,阿塞拜疆
1233,欧洲预选,2017-10-06 02:45,北爱尔兰,1-3,德国
1234,欧洲预选,2017-09-05 02:45,德国,6-0,挪威
1235,欧洲预选,2017-09-02 02:45,捷克,1-2,德国
1236,洲际杯,2017-07-03 02:00,智利,0-1,德国
1237,洲际杯,2017-06-30 02:00,德国,4-1,墨西哥
1238,洲际杯,2017-06-25 23:00,德国,3-1,喀麦隆
1239,洲际杯,2017-06-23 02:00,德国,1-1,智利
1240,欧洲预选,2017-06-11 02:45,德国,7-0,圣马力诺
1241,欧洲预选,2017-03-26 23:59,阿塞拜疆,1-4,德国
1242,国际友谊,2017-03-23 03:45,德国,1-0,英格兰
1243,国际友谊,2016-11-16 03:45,意大利,0-0,德国
1244,欧洲预选,2016-11-12 03:45,圣马力诺,0-8,德国
1245,欧洲预选,2016-10-12 02:45,德国,2-0,北爱尔兰
1246,欧洲预选,2016-10-09 02:45,德国,3-0,捷克
1247,欧洲预选,2016-09-05 02:45,挪威,0-3,德国
1248,国际友谊,2016-09-01 02:45,德国,2-0,芬兰
1249,欧洲杯,2016-07-03 03:00,德国,1-1,意大利
1250,欧洲杯,2016-06-26 23:59,德国,3-0,斯洛伐克
1251,欧洲杯,2016-06-21 23:59,北爱尔兰,0-1,德国
1252,欧洲杯,2016-06-17 03:00,德国,0-0,波兰
1253,欧洲杯,2016-06-13 03:00,德国,2-0,乌克兰
1254,国际友谊,2016-06-04 23:59,德国,2-0,匈牙利
1255,国际友谊,2016-05-29 23:45,德国,1-3,斯洛伐克
1256,国际友谊,2016-03-30 02:45,德国,4-1,意大利
1257,国际友谊,2016-03-27 03:45,德国,2-3,英格兰
1258,欧洲杯,2015-10-12 02:45,德国,2-1,格鲁吉亚
1259,欧洲杯,2015-10-09 02:45,爱尔兰,1-0,德国
1260,欧洲杯,2015-09-08 02:45,苏格兰,2-3,德国
1261,欧洲杯,2015-09-05 02:45,德国,3-1,波兰
1262,欧洲杯,2015-06-14 02:45,直布罗陀,0-7,德国
1263,国际友谊,2015-06-11 02:45,德国,1-2,美国
1264,欧洲杯,2015-03-29 23:59,格鲁吉亚,0-2,德国
1265,欧洲杯,2014-11-15 03:45,德国,4-0,直布罗陀
1266,欧洲杯,2014-10-15 02:45,德国,1-1,爱尔兰
1267,欧洲杯,2014-10-12 02:45,波兰,2-0,德国
1268,欧洲杯,2014-09-08 02:45,德国,2-1,苏格兰
1269,世界杯,2014-07-01 04:00,德国,0-0,阿尔及利亚
1270,世界杯,2014-06-27 00:00,美国,0-1,德国
1271,世界杯,2014-06-22 03:00,德国,2-2,加纳
1272,国际友谊,2014-06-07 02:45,德国,6-1,阿美尼亚
1273,国际友谊,2014-06-02 02:30,德国,2-2,喀麦隆
1274,国际友谊,2014-05-14 02:45,德国,0-0,波兰
1275,国际友谊,2014-03-06 03:45,德国,1-0,智利
1276,球会友谊,2013-11-20 04:00,英格兰,0-1,德国
1277,球会友谊,2013-11-16 03:45,意大利,1-1,德国
1278,欧洲预选,2013-10-12 02:45,德国,3-0,爱尔兰
1279,欧洲预选,2013-09-11 02:45,法罗群岛,0-3,德国
1280,欧洲预选,2013-09-07 02:45,德国,3-0,奥地利
1281,球会友谊,2013-08-15 02:45,德国,3-3,巴拉圭
1282,球会友谊,2013-06-03 02:30,美国,4-3,德国
1283,球会友谊,2013-05-30 02:30,德国,4-2,厄瓜多尔
1284,欧洲预选,2013-03-27 03:45,德国,4-1,哈萨克斯坦
1285,欧洲预选,2013-03-23 02:00,哈萨克斯坦,0-3,德国
1286,球会友谊,2012-11-15 03:30,荷兰,0-0,德国
1287,欧洲预选,2012-10-13 02:45,爱尔兰,1-6,德国
1288,欧洲预选,2012-09-12 02:30,奥地利,1-2,德国
1289,欧洲预选,2012-09-08 02:45,德国,3-0,法罗群岛
1290,欧洲杯,2012-06-29 02:45,德国,1-2,意大利
1291,欧洲杯,2012-06-23 02:45,德国,4-2,希腊
1292,欧洲杯,2012-06-14 02:45,荷兰,1-2,德国
1293,球会友谊,2012-06-01 02:30,德国,2-0,以色列
1294,欧洲杯,2011-10-12 01:00,德国,3-1,比利时
1295,欧洲杯,2011-10-08 02:30,土耳其,1-3,德国
1296,欧洲杯,2011-09-03 02:45,德国,6-2,奥地利
1297,国际友谊,2017-11-14 03:45,波兰,0-1,墨西哥
1298,国际友谊,2017-11-11 03:45,比利时,3-3,墨西哥
1299,北美预选,2017-10-11 08:00,洪都拉斯,3-2,墨西哥
1300,北美预选,2017-10-07 09:40,墨西哥,3-1,特立尼达和多巴哥
1301,北美预选,2017-09-02 09:30,墨西哥,1-0,巴拿马
1302,美金杯,2017-07-24 09:00,墨西哥,0-1,牙买加
1303,美金杯,2017-07-21 10:30,墨西哥,1-0,洪都拉斯
1304,美金杯,2017-07-17 08:35,库拉索,0-2,墨西哥
1305,美金杯,2017-07-14 10:30,墨西哥,0-0,牙买加
1306,美金杯,2017-07-10 09:30,墨西哥,3-1,萨尔瓦多
1307,国际友谊,2017-07-02 08:30,墨西哥,2-1,巴拉圭
1308,国际友谊,2017-06-29 09:05,墨西哥,1-0,加纳
1309,洲际杯,2017-06-22 02:00,墨西哥,2-1,新西兰
1310,北美预选,2017-06-12 08:30,墨西哥,1-1,美国
1311,北美预选,2017-06-09 10:00,墨西哥,3-0,洪都拉斯
1312,国际友谊,2017-06-02 08:30,墨西哥,3-1,爱尔兰
1313,北美预选,2017-03-29 07:00,特立尼达和多巴哥,0-1,墨西哥
1314,北美预选,2016-11-16 10:05,巴拿马,0-0,墨西哥
1315,北美预选,2016-11-12 09:00,美国,1-2,墨西哥
1316,国际友谊,2016-10-12 10:00,巴拿马,0-1,墨西哥
1317,国际友谊,2016-10-09 06:40,墨西哥,2-1,新西兰
1318,北美预选,2016-09-07 10:00,墨西哥,0-0,洪都拉斯
1319,北美预选,2016-09-03 10:05,萨尔瓦多,1-3,墨西哥
1320,美洲杯,2016-06-19 10:00,智利,7-0,墨西哥
1321,美洲杯,2016-06-14 08:00,墨西哥,1-1,委内瑞拉
1322,美洲杯,2016-06-10 10:00,墨西哥,2-0,牙买加
1323,国际友谊,2016-06-02 10:10,墨西哥,1-0,智利
1324,国际友谊,2016-05-29 05:30,墨西哥,1-0,巴拉圭
1325,北美预选,2016-03-30 10:30,墨西哥,2-0,加拿大
1326,北美预选,2016-03-26 10:05,加拿大,0-3,墨西哥
1327,国际友谊,2016-02-11 09:35,墨西哥,2-0,塞内加尔
1328,北美预选,2015-11-18 05:00,洪都拉斯,0-2,墨西哥
1329,北美预选,2015-11-14 10:05,墨西哥,3-0,萨尔瓦多
1330,国际友谊,2015-10-14 10:00,墨西哥,1-0,巴拿马
1331,国际友谊,2015-10-11 09:40,美国,1-1,墨西哥
1332,国际友谊,2015-09-05 10:05,墨西哥,3-3,特立尼达和多巴哥
1333,美金杯,2015-07-27 08:05,牙买加,1-3,墨西哥
1334,美金杯,2015-07-23 09:00,巴拿马,1-1,墨西哥
1335,美金杯,2015-07-16 08:30,墨西哥,4-4,特立尼达和多巴哥
1336,美金杯,2015-07-13 09:10,危地马拉,0-0,墨西哥
1337,美金杯,2015-07-10 09:45,墨西哥,6-0,古巴
1338,国际友谊,2015-07-02 09:35,洪都拉斯,0-0,墨西哥
1339,美洲杯,2015-06-20 05:00,墨西哥,1-2,厄瓜多尔
1340,美洲杯,2015-06-16 07:30,智利,3-3,墨西哥
1341,美洲杯,2015-06-13 07:30,墨西哥,0-0,玻利维亚
1342,国际友谊,2015-05-31 06:00,墨西哥,3-0,危地马拉
1343,国际友谊,2015-04-16 09:00,美国,2-0,墨西哥
1344,国际友谊,2015-04-01 09:00,墨西哥,1-0,巴拉圭
1345,国际友谊,2015-03-29 09:35,墨西哥,1-0,厄瓜多尔
1346,国际友谊,2014-11-19 01:00,白俄罗斯,3-2,墨西哥
1347,国际友谊,2014-11-13 03:30,荷兰,2-3,墨西哥
1348,国际友谊,2014-10-13 05:00,墨西哥,1-0,巴拿马
1349,国际友谊,2014-10-10 09:00,墨西哥,2-0,洪都拉斯
1350,国际友谊,2014-09-10 10:00,玻利维亚,0-1,墨西哥
1351,国际友谊,2014-09-07 10:00,墨西哥,0-0,智利
1352,世界杯,2014-06-30 00:00,荷兰,2-1,墨西哥
1353,世界杯,2014-06-14 00:00,墨西哥,1-0,喀麦隆
1354,球会友谊,2014-06-04 09:30,波黑,1-0,墨西哥
1355,国际友谊,2014-06-01 03:10,墨西哥,3-1,厄瓜多尔
1356,国际友谊,2014-05-29 09:30,墨西哥,3-0,以色列
1357,国际友谊,2014-04-03 11:20,美国,2-2,墨西哥
1358,世界杯附,2013-11-20 14:00,新西兰,2-4,墨西哥
1359,世界杯附,2013-11-14 04:30,墨西哥,5-1,新西兰
1360,北美预选,2013-10-12 09:30,墨西哥,2-1,巴拿马
1361,北美预选,2013-09-11 08:05,美国,2-0,墨西哥
1362,洲际杯,2013-06-23 03:00,日本,1-2,墨西哥
1363,洲际杯,2013-06-17 03:00,墨西哥,1-2,意大利
1364,球会友谊,2012-08-16 08:10,墨西哥,0-1,美国
1365,球会友谊,2012-06-01 09:00,墨西哥,2-1,波黑
1366,球会友谊,2012-05-28 03:00,威尔士,0-2,墨西哥
1367,球会友谊,2012-03-01 09:15,墨西哥,0-2,哥伦比亚
1368,美洲杯,2011-07-05 08:45,智利,2-1,墨西哥
1369,东亚杯,2017-12-16 18:15,日本,1-4,韩国
1370,东亚杯,2017-12-12 15:30,朝鲜,0-1,韩国
1371,东亚杯,2017-12-09 15:30,韩国,2-2,中国
1372,国际友谊,2017-11-10 19:00,韩国,2-1,哥伦比亚
1373,亚洲预选,2017-09-05 23:00,乌兹别克,0-0,韩国
1374,亚洲预选,2017-06-14 03:00,卡塔尔,3-2,韩国
1375,国际友谊,2017-06-08 01:00,伊拉克,0-0,韩国
1376,亚洲预选,2017-03-28 19:00,韩国,1-0,叙利亚
1377,亚洲预选,2017-03-23 19:35,中国,1-0,韩国
1378,亚洲预选,2016-11-15 19:00,韩国,2-1,乌兹别克
1379,国际友谊,2016-11-11 19:00,韩国,2-0,加拿大
1380,亚洲预选,2016-10-06 19:00,韩国,3-2,卡塔尔
1381,亚洲预选,2016-09-06 20:00,叙利亚,0-0,韩国
1382,亚洲预选,2016-09-01 19:00,韩国,3-2,中国
1383,国际友谊,2016-06-05 21:10,捷克,1-2,韩国
1384,国际友谊,2016-03-27 20:30,泰国,0-1,韩国
1385,亚洲预选,2016-03-24 19:00,韩国,1-0,黎巴嫩
1386,亚洲预选,2015-11-17 20:00,老挝,0-5,韩国
1387,亚洲预选,2015-11-12 19:00,韩国,4-0,缅甸联邦
1388,国际友谊,2015-10-13 19:00,韩国,3-0,牙买加
1389,亚洲预选,2015-10-08 22:55,科威特,0-1,韩国
1390,亚洲预选,2015-09-08 22:00,黎巴嫩,0-3,韩国
1391,亚洲预选,2015-09-03 19:00,韩国,8-0,老挝
1392,东亚杯,2015-08-09 17:10,韩国,0-0,朝鲜
1393,东亚杯,2015-08-05 18:20,日本,1-1,韩国
1394,东亚杯,2015-08-02 21:00,中国,0-2,韩国
1395,亚洲预选,2015-06-16 20:00,缅甸联邦,0-2,韩国
1396,国际友谊,2015-06-11 17:20,韩国,3-0,阿联酋
1397,国际友谊,2015-03-27 19:00,韩国,1-1,乌兹别克
1398,亚洲杯,2015-01-26 17:00,韩国,2-0,伊拉克
1399,亚洲杯,2015-01-22 15:30,韩国,0-0,乌兹别克
1400,亚洲杯,2015-01-13 15:00,科威特,0-1,韩国
1401,亚洲杯,2015-01-10 13:00,韩国,1-0,阿曼
1402,国际友谊,2014-11-14 22:30,约旦,0-1,韩国
1403,国际友谊,2014-10-10 19:00,韩国,2-0,巴拉圭
1404,世界杯,2014-06-27 04:00,韩国,0-1,比利时
1405,世界杯,2014-06-23 03:00,韩国,2-4,阿尔及利亚
1406,国际友谊,2014-06-10 07:00,韩国,0-4,加纳
1407,国际友谊,2014-05-28 19:00,韩国,0-1,突尼斯
1408,国际友谊,2014-03-06 01:00,希腊,0-2,韩国
1409,亚洲预选,2013-06-11 19:00,韩国,1-0,乌兹别克
1410,亚洲预选,2013-06-05 01:30,黎巴嫩,1-1,韩国
1411,亚洲预选,2013-03-26 19:00,韩国,2-1,卡塔尔
1412,亚洲预选,2012-09-11 21:00,乌兹别克,2-2,韩国
1413,亚洲预选,2012-06-12 19:00,韩国,3-0,黎巴嫩
1414,亚洲预选,2012-06-09 00:15,卡塔尔,1-4,韩国
1415,国际友谊,2017-11-15 03:45,比利时,1-0,日本
1416,欧洲预选,2017-10-11 02:45,比利时,4-0,塞浦路斯
1417,欧洲预选,2017-10-07 23:59,波黑,3-4,比利时
1418,欧洲预选,2017-09-04 02:45,希腊,1-2,比利时
1419,欧洲预选,2017-09-01 02:45,比利时,9-0,直布罗陀
1420,欧洲预选,2017-06-10 02:45,爱沙尼亚,0-2,比利时
1421,国际友谊,2017-06-06 02:45,比利时,2-1,捷克
1422,欧洲预选,2017-03-26 03:45,比利时,1-1,希腊
1423,欧洲预选,2016-11-14 03:45,比利时,8-1,爱沙尼亚
1424,国际友谊,2016-11-10 03:45,荷兰,1-1,比利时
1425,欧洲预选,2016-10-11 02:45,直布罗陀,0-6,比利时
1426,欧洲预选,2016-10-08 02:45,比利时,4-0,波黑
1427,欧洲预选,2016-09-07 02:45,塞浦路斯,0-3,比利时
1428,欧洲杯,2016-07-02 03:00,威尔士,3-1,比利时
1429,欧洲杯,2016-06-27 03:00,匈牙利,0-4,比利时
1430,欧洲杯,2016-06-18 21:00,比利时,3-0,爱尔兰
1431,欧洲杯,2016-06-14 03:00,比利时,0-2,意大利
1432,国际友谊,2016-06-05 23:59,比利时,3-2,挪威
1433,国际友谊,2016-06-02 02:45,比利时,1-1,芬兰
1434,国际友谊,2015-11-14 03:45,比利时,3-1,意大利
1435,欧洲杯,2015-10-14 02:45,比利时,3-1,以色列
1436,欧洲杯,2015-10-11 02:45,安道尔,1-4,比利时
1437,欧洲杯,2015-09-07 02:45,塞浦路斯,0-1,比利时
1438,欧洲杯,2015-09-04 02:45,比利时,3-1,波黑
1439,欧洲杯,2015-06-13 02:45,威尔士,1-0,比利时
1440,欧洲杯,2015-04-01 02:45,以色列,0-1,比利时
1441,欧洲杯,2015-03-29 03:45,比利时,5-0,塞浦路斯
1442,欧洲杯,2014-11-17 01:00,比利时,0-0,威尔士
1443,欧洲杯,2014-10-14 02:45,波黑,1-1,比利时
1444,欧洲杯,2014-10-11 02:45,比利时,6-0,安道尔
1445,世界杯,2014-07-02 04:00,比利时,0-0,美国
1446,世界杯,2014-06-18 00:00,比利时,2-1,阿尔及利亚
1447,国际友谊,2014-06-08 02:45,比利时,1-0,突尼斯
1448,国际友谊,2014-05-27 02:45,比利时,5-1,卢森堡
1449,国际友谊,2014-03-06 03:45,比利时,2-2,科特迪瓦
1450,球会友谊,2013-11-20 04:00,比利时,2-3,日本
1451,欧洲预选,2013-10-16 03:00,比利时,1-1,威尔士
1452,欧洲预选,2013-09-07 03:00,苏格兰,0-2,比利时
1453,球会友谊,2013-05-30 08:15,美国,2-4,比利时
1454,欧洲预选,2013-03-27 03:45,比利时,1-0,马其顿
1455,欧洲预选,2013-03-23 03:45,马其顿,0-2,比利时
1456,球会友谊,2013-02-07 03:45,比利时,2-1,斯洛伐克
1457,球会友谊,2012-11-15 03:00,罗马尼亚,2-1,比利时
1458,欧洲预选,2012-10-17 02:45,比利时,2-0,苏格兰
1459,欧洲预选,2012-09-08 02:45,威尔士,0-2,比利时
1460,球会友谊,2012-08-16 02:45,比利时,4-2,荷兰
1461,球会友谊,2012-06-03 00:15,英格兰,1-0,比利时
1462,球会友谊,2012-05-26 02:45,比利时,2-2,黑山
1463,球会友谊,2012-03-01 03:30,希腊,1-1,比利时
1464,欧洲杯,2011-10-08 02:45,比利时,4-1,哈萨克斯坦
1465,欧洲杯,2011-09-02 23:59,阿塞拜疆,1-1,比利时
1466,欧洲预选,2017-10-08 23:59,立陶宛,0-1,英格兰
1467,欧洲预选,2017-10-06 02:45,英格兰,1-0,斯洛文尼亚
1468,欧洲预选,2017-09-05 02:45,英格兰,2-1,斯洛伐克
1469,欧洲预选,2017-09-02 02:45,马耳他,0-4,英格兰
1470,欧洲预选,2017-06-10 23:59,苏格兰,2-2,英格兰
1471,欧洲预选,2017-03-26 23:59,英格兰,2-0,立陶宛
1472,欧洲预选,2016-11-12 03:45,英格兰,3-0,苏格兰
1473,欧洲预选,2016-10-12 02:45,斯洛文尼亚,0-0,英格兰
1474,欧洲预选,2016-10-08 23:59,英格兰,2-0,马耳他
1475,欧洲预选,2016-09-04 23:59,斯洛伐克,0-1,英格兰
1476,欧洲杯,2016-06-21 03:00,斯洛伐克,0-0,英格兰
1477,欧洲杯,2016-06-16 21:00,英格兰,2-1,威尔士
1478,国际友谊,2016-05-23 00:15,英格兰,2-1,土耳其
1479,国际友谊,2016-03-30 03:00,英格兰,1-2,荷兰
1480,欧洲杯,2015-10-13 02:45,立陶宛,0-3,英格兰
1481,欧洲杯,2015-10-10 02:45,英格兰,2-0,爱沙尼亚
1482,欧洲杯,2015-09-05 23:59,圣马力诺,0-6,英格兰
1483,欧洲杯,2015-06-14 23:59,斯洛文尼亚,2-3,英格兰
1484,国际友谊,2015-06-07 20:00,爱尔兰,0-0,英格兰
1485,国际友谊,2015-04-01 02:45,意大利,1-1,英格兰
1486,欧洲杯,2015-03-28 03:45,英格兰,4-0,立陶宛
1487,国际友谊,2014-11-19 04:00,苏格兰,1-3,英格兰
1488,欧洲杯,2014-11-16 01:00,英格兰,3-1,斯洛文尼亚
1489,欧洲杯,2014-10-12 23:59,爱沙尼亚,0-1,英格兰
1490,欧洲杯,2014-10-10 02:45,英格兰,5-0,圣马力诺
1491,国际友谊,2014-09-04 03:00,英格兰,1-0,挪威
1492,世界杯,2014-06-15 06:00,英格兰,1-2,意大利
1493,国际友谊,2014-06-08 04:45,英格兰,0-0,洪都拉斯
1494,国际友谊,2014-06-05 03:00,厄瓜多尔,2-2,英格兰
1495,球会友谊,2013-11-16 04:00,英格兰,0-2,智利
1496,欧洲预选,2013-10-16 03:00,英格兰,2-0,波兰
1497,欧洲预选,2013-10-12 03:00,英格兰,4-1,黑山
1498,欧洲预选,2013-09-11 02:45,乌克兰,0-0,英格兰
1499,欧洲预选,2013-09-07 03:00,英格兰,4-0,摩尔多瓦
1500,球会友谊,2013-08-15 03:00,英格兰,3-2,苏格兰
1501,球会友谊,2013-05-30 03:00,英格兰,1-1,爱尔兰
1502,欧洲预选,2013-03-27 04:00,黑山,1-1,英格兰
1503,欧洲预选,2013-03-23 04:00,圣马力诺,0-8,英格兰
1504,欧洲预选,2012-10-17 23:00,波兰,1-1,英格兰
1505,欧洲预选,2012-10-13 03:00,英格兰,5-0,圣马力诺
1506,欧洲预选,2012-09-12 03:00,英格兰,1-1,乌克兰
1507,欧洲预选,2012-09-08 02:45,摩尔多瓦,0-5,英格兰
1508,球会友谊,2012-08-16 03:00,英格兰,2-1,意大利
1509,欧洲杯,2012-06-25 02:45,英格兰,0-0,意大利
1510,欧洲杯,2012-06-20 02:45,乌克兰,0-1,英格兰
1511,球会友谊,2012-05-27 02:45,挪威,0-1,英格兰
1512,球会友谊,2012-03-01 04:00,英格兰,2-3,荷兰
1513,欧洲杯,2011-10-08 03:00,黑山,2-2,英格兰
1514,欧洲杯,2011-09-07 02:45,英格兰,1-0,威尔士
1515,欧洲杯,2011-09-03 02:15,保加利亚,0-3,英格兰
1516,国际友谊,2017-11-15 03:45,威尔士,1-1,巴拿马
1517,北美预选,2017-10-07 07:35,美国,4-0,巴拿马
1518,北美预选,2017-09-06 10:05,巴拿马,3-0,特立尼达和多巴哥
1519,美金杯,2017-07-16 04:35,巴拿马,3-0,马提尼克
1520,美金杯,2017-07-13 06:35,尼加拉瓜,1-2,巴拿马
1521,美金杯,2017-07-09 04:45,美国,1-1,巴拿马
1522,北美预选,2017-06-14 09:35,巴拿马,2-2,洪都拉斯
1523,北美预选,2017-03-29 10:05,巴拿马,1-1,美国
1524,北美预选,2017-03-25 07:00,特立尼达和多巴哥,1-0,巴拿马
1525,中美杯,2017-01-21 10:05,巴拿马,1-0,萨尔瓦多
1526,中美杯,2017-01-18 10:00,巴拿马,0-1,洪都拉斯
1527,中美杯,2017-01-16 07:00,巴拿马,2-1,尼加拉瓜
1528,中美杯,2017-01-14 10:05,巴拿马,0-0,伯利兹
1529,北美预选,2016-11-12 04:35,洪都拉斯,0-1,巴拿马
1530,北美预选,2016-09-03 09:30,巴拿马,2-0,牙买加
1531,国际友谊,2016-08-11 09:30,巴拿马,0-0,危地马拉
1532,美洲杯,2016-06-15 08:00,智利,4-2,巴拿马
1533,美洲杯,2016-06-07 07:00,巴拿马,2-1,玻利维亚
1534,国际友谊,2016-05-25 09:30,巴拿马,0-0,委内瑞拉
1535,国际友谊,2016-04-28 08:00,马提尼克,0-2,巴拿马
1536,北美预选,2016-03-30 09:30,巴拿马,1-0,海地
1537,北美预选,2016-03-26 08:00,海地,0-0,巴拿马
1538,国际友谊,2016-03-16 09:30,尼加拉瓜,1-0,巴拿马
1539,国际友谊,2016-02-18 09:30,巴拿马,1-0,萨尔瓦多
1540,国际友谊,2016-01-09 09:35,巴拿马,4-0,古巴
1541,北美预选,2015-11-14 10:05,牙买加,0-2,巴拿马
1542,国际友谊,2015-10-09 09:35,巴拿马,1-2,特立尼达和多巴哥
1543,国际友谊,2015-09-09 05:25,委内瑞拉,1-1,巴拿马
1544,美金杯,2015-07-26 04:00,美国,1-1,巴拿马
1545,美金杯,2015-07-20 04:30,特立尼达和多巴哥,1-1,巴拿马
1546,美金杯,2015-07-14 09:45,美国,1-1,巴拿马
1547,美金杯,2015-07-11 06:00,洪都拉斯,1-1,巴拿马
1548,美金杯,2015-07-08 07:00,巴拿马,1-1,海地
1549,国际友谊,2015-06-07 05:00,厄瓜多尔,4-0,巴拿马
1550,国际友谊,2015-06-04 09:35,巴拿马,1-1,厄瓜多尔
1551,国际友谊,2015-03-28 07:00,特立尼达和多巴哥,0-1,巴拿马
1552,国际友谊,2015-02-09 05:00,美国,2-0,巴拿马
1553,国际友谊,2014-11-19 09:05,巴拿马,0-0,加拿大
1554,国际友谊,2014-11-15 09:05,萨尔瓦多,1-3,巴拿马
1555,中美杯,2014-09-14 09:00,萨尔瓦多,0-1,巴拿马
1556,中美杯,2014-09-11 06:05,巴拿马,2-0,尼加拉瓜
1557,北美预选,2013-10-16 09:30,巴拿马,2-3,美国
1558,北美预选,2013-09-11 09:00,洪都拉斯,2-2,巴拿马
1559,非洲预选,2017-11-12 01:30,突尼斯,0-0,利比亚
1560,非洲预选,2017-10-08 01:00,几内亚,1-4,突尼斯
1561,非洲预选,2017-09-06 01:30,刚果民主共和国,2-2,突尼斯
1562,非洲预选,2017-09-02 04:00,突尼斯,2-1,刚果民主共和国
1563,国际友谊,2017-03-25 02:00,突尼斯,0-1,喀麦隆
1564,非洲杯,2017-01-28 23:59,布基纳法索,2-0,突尼斯
1565,非洲杯,2017-01-24 03:00,津巴布韦,2-4,突尼斯
1566,非洲杯,2017-01-19 23:59,阿尔及利亚,1-2,突尼斯
1567,非洲杯,2017-01-16 03:00,突尼斯,0-2,塞内加尔
1568,国际友谊,2017-01-04 21:35,突尼斯,2-0,乌干达
1569,国际友谊,2016-12-31 03:30,巴斯克,3-1,突尼斯
1570,国际友谊,2016-12-29 01:45,加太罗尼亚,3-3,突尼斯
1571,国际友谊,2016-11-15 22:00,突尼斯,0-0,毛里塔尼亚
1572,非洲预选,2016-11-12 03:00,利比亚,0-1,突尼斯
1573,非洲预选,2016-10-10 01:00,突尼斯,2-0,几内亚
1574,非洲杯,2016-09-05 01:30,突尼斯,4-1,利比里亚
1575,非洲杯,2016-06-03 20:30,吉布提,0-3,突尼斯
1576,非洲杯,2016-03-29 23:00,多哥,0-0,突尼斯
