,比赛,时间,主队,比分,客队
185,球会友谊,2012-03-01 02:30,罗马尼亚,1-1,乌拉圭
186,南美预选,2011-11-12 06:00,乌拉圭,4-0,智利
187,南美预选,2011-10-12 06:45,巴拉圭,1-1,乌拉圭
188,美洲杯,2011-07-25 03:00,乌拉圭,3-0,巴拉圭
189,美洲杯,2011-07-20 08:45,乌拉圭,2-0,秘鲁
190,美洲杯,2011-07-17 06:15,阿根廷,1-1,乌拉圭
191,美洲杯,2011-07-13 08:45,乌拉圭,1-0,墨西哥
192,美洲杯,2011-07-09 06:15,乌拉圭,1-1,智利
193,美洲杯,2011-07-05 06:15,乌拉圭,1-1,秘鲁
194,海湾运,2017-12-28 23:30,沙特阿拉伯,0-2,阿曼
195,海湾运,2017-12-25 22:30,阿联酋,0-0,沙特阿拉伯
196,海湾运,2017-12-22 23:35,科威特,1-2,沙特阿拉伯
197,国际友谊,2017-11-14 01:00,保加利亚,1-0,沙特阿拉伯
198,国际友谊,2017-11-11 04:45,葡萄牙,3-0,沙特阿拉伯
199,国际友谊,2017-10-11 01:15,沙特阿拉伯,0-3,加纳
200,国际友谊,2017-10-08 01:15,沙特阿拉伯,5-2,牙买加
201,亚洲预选,2017-09-06 01:30,沙特阿拉伯,1-0,日本
202,亚洲预选,2017-08-30 00:30,阿联酋,2-1,沙特阿拉伯
203,亚洲预选,2017-06-08 18:00,澳大利亚,3-2,沙特阿拉伯
204,亚洲预选,2017-03-29 01:30,沙特阿拉伯,1-0,伊拉克
205,亚洲预选,2017-03-23 20:00,泰国,0-3,沙特阿拉伯
206,国际友谊,2017-01-10 23:00,沙特阿拉伯,0-0,斯洛文尼亚B队
207,亚洲预选,2016-11-15 18:35,日本,2-1,沙特阿拉伯
208,亚洲预选,2016-10-12 01:45,沙特阿拉伯,3-0,阿联酋
209,亚洲预选,2016-10-07 01:45,沙特阿拉伯,2-2,澳大利亚
210,亚洲预选,2016-09-06 19:00,伊拉克,1-2,沙特阿拉伯
211,亚洲预选,2016-09-02 01:30,沙特阿拉伯,1-0,泰国
212,国际友谊,2016-08-25 00:30,沙特阿拉伯,4-0,老挝
213,亚洲预选,2016-03-29 23:00,阿联酋,1-1,沙特阿拉伯
214,亚洲预选,2016-03-25 01:30,沙特阿拉伯,2-0,马来西亚
215,亚洲预选,2015-11-17 15:00,东帝汶,0-10,沙特阿拉伯
216,亚洲预选,2015-11-09 22:00,巴勒斯坦,0-0,沙特阿拉伯
217,亚洲预选,2015-10-09 01:00,沙特阿拉伯,2-1,阿联酋
